"branchID,""date"",""product"",""sales"""
"5181,2020-01-24,""Yu Note 12"",33"
"1742,2020-03-03,""Yu Note 12"",72"
"1742,2020-02-23,""Yu Note 12"",99"
"8740,2020-01-23,""Milky S20"",71"
"4071,2020-01-26,""Yu Note 12"",50"
"4071,2020-02-02,""Milky S20"",44"
"1742,2020-02-26,""Milky S20"",94"
"4071,2020-01-29,""Milky S20"",12"
"9504,2020-01-10,""Yu Note 12"",8"
"1742,2020-02-22,""EggPhoneX"",89"
"5181,2020-02-23,""Milky S20"",43"
"9504,2020-03-17,""Milky S20"",5"
"8740,2020-01-11,""EggPhoneX"",65"
"5181,2020-01-25,""Milky S20"",47"
"1742,2020-02-21,""Yu Note 12"",62"
"4071,2020-01-26,""EggPhoneX"",27"
"8740,2020-01-07,""Yu Note 12"",16"
"8740,2020-01-25,""Yu Note 12"",12"
"4071,2020-03-27,""EggPhoneX"",51"
"4071,2020-03-30,""EggPhoneX"",55"
"4071,2020-02-01,""EggPhoneX"",14"
"9504,2020-03-24,""EggPhoneX"",17"
"5181,2020-01-24,""Yu Note 12"",76"
"1742,2020-02-26,""Milky S20"",53"
"5181,2020-03-13,""Yu Note 12"",86"
"5181,2020-01-23,""Milky S20"",67"
"5181,2020-01-14,""EggPhoneX"",2"
"1742,2020-01-06,""Milky S20"",69"
"1742,2020-03-31,""Yu Note 12"",89"
"5181,2020-01-01,""Milky S20"",63"
"1742,2020-03-30,""EggPhoneX"",11"
"4071,2020-02-27,""Yu Note 12"",92"
"5181,2020-03-21,""Yu Note 12"",67"
"1742,2020-01-29,""EggPhoneX"",15"
"4071,2020-01-26,""Yu Note 12"",74"
"9504,2020-01-27,""Milky S20"",94"
"5181,2020-03-25,""EggPhoneX"",42"
"1742,2020-01-07,""Yu Note 12"",30"
"9504,2020-02-29,""EggPhoneX"",26"
"9504,2020-01-26,""EggPhoneX"",23"
"1742,2020-02-10,""Milky S20"",56"
"1742,2020-03-24,""Yu Note 12"",75"
"8740,2020-01-06,""Yu Note 12"",67"
"9504,2020-04-03,""EggPhoneX"",55"
"1742,2020-01-31,""Yu Note 12"",81"
"8740,2020-04-02,""EggPhoneX"",76"
"5181,2020-01-17,""Yu Note 12"",2"
"4071,2020-03-04,""Milky S20"",38"
"8740,2020-02-06,""EggPhoneX"",6"
"1742,2020-02-26,""Milky S20"",79"
"1742,2020-01-20,""EggPhoneX"",92"
"9504,2020-02-04,""EggPhoneX"",54"
"5181,2020-03-29,""Yu Note 12"",85"
"5181,2020-02-02,""EggPhoneX"",58"
"5181,2020-03-06,""Milky S20"",67"
"8740,2020-01-04,""EggPhoneX"",51"
"4071,2020-03-14,""EggPhoneX"",76"
"8740,2020-04-06,""Yu Note 12"",90"
"4071,2020-01-05,""EggPhoneX"",82"
"9504,2020-01-25,""Milky S20"",8"
"1742,2020-01-08,""EggPhoneX"",1"
"4071,2020-02-24,""Yu Note 12"",6"
"4071,2020-03-29,""EggPhoneX"",86"
"5181,2020-03-25,""Yu Note 12"",58"
"8740,2020-02-14,""Milky S20"",32"
"9504,2020-01-18,""Yu Note 12"",95"
"5181,2020-02-11,""Milky S20"",59"
"5181,2020-01-31,""Milky S20"",53"
"4071,2020-01-06,""Yu Note 12"",39"
"8740,2020-03-11,""Milky S20"",32"
"9504,2020-03-01,""Milky S20"",81"
"1742,2020-02-17,""Yu Note 12"",5"
"1742,2020-01-17,""Yu Note 12"",37"
"9504,2020-02-14,""EggPhoneX"",85"
"5181,2020-04-01,""Milky S20"",70"
"1742,2020-03-03,""Milky S20"",68"
"1742,2020-02-22,""EggPhoneX"",35"
"9504,2020-02-22,""Milky S20"",55"
"8740,2020-03-03,""EggPhoneX"",14"
"5181,2020-03-11,""EggPhoneX"",78"
"1742,2020-03-24,""Milky S20"",88"
"4071,2020-03-22,""Yu Note 12"",21"
"5181,2020-04-02,""Yu Note 12"",77"
"4071,2020-01-17,""EggPhoneX"",60"
"5181,2020-04-06,""Milky S20"",95"
"5181,2020-01-02,""EggPhoneX"",16"
"9504,2020-02-18,""Milky S20"",53"
"8740,2020-01-02,""EggPhoneX"",87"
"1742,2020-01-13,""Yu Note 12"",87"
"1742,2020-01-24,""Yu Note 12"",3"
"8740,2020-02-18,""Milky S20"",97"
"5181,2020-03-07,""Yu Note 12"",49"
"4071,2020-03-22,""EggPhoneX"",39"
"1742,2020-01-02,""Milky S20"",42"
"8740,2020-02-06,""Milky S20"",10"
"4071,2020-03-03,""Yu Note 12"",17"
"5181,2020-03-16,""Milky S20"",41"
"5181,2020-01-13,""EggPhoneX"",34"
"9504,2020-02-11,""Yu Note 12"",42"
"5181,2020-03-01,""Yu Note 12"",31"
"4071,2020-03-10,""Yu Note 12"",56"
"5181,2020-02-07,""Milky S20"",16"
"5181,2020-03-04,""Milky S20"",95"
"9504,2020-03-20,""Yu Note 12"",5"
"4071,2020-04-08,""EggPhoneX"",37"
"4071,2020-02-05,""EggPhoneX"",96"
"4071,2020-03-31,""Yu Note 12"",64"
"1742,2020-03-31,""Milky S20"",7"
"9504,2020-02-04,""Milky S20"",41"
"8740,2020-03-27,""Milky S20"",43"
"8740,2020-03-07,""Milky S20"",51"
"5181,2020-04-04,""Milky S20"",45"
"5181,2020-02-17,""Milky S20"",62"
"8740,2020-03-06,""Yu Note 12"",14"
"9504,2020-01-23,""Milky S20"",90"
"1742,2020-03-07,""EggPhoneX"",57"
"4071,2020-01-09,""Milky S20"",55"
"8740,2020-03-01,""Milky S20"",12"
"1742,2020-02-08,""Milky S20"",76"
"8740,2020-04-03,""Yu Note 12"",48"
"9504,2020-01-31,""Milky S20"",78"
"4071,2020-04-03,""Yu Note 12"",5"
"5181,2020-03-13,""Milky S20"",82"
"9504,2020-02-05,""Yu Note 12"",27"
"9504,2020-04-07,""EggPhoneX"",29"
"5181,2020-01-22,""Yu Note 12"",64"
"4071,2020-02-13,""Yu Note 12"",94"
"1742,2020-02-10,""Yu Note 12"",1"
"8740,2020-04-01,""EggPhoneX"",35"
"5181,2020-04-02,""Yu Note 12"",42"
"1742,2020-02-12,""Yu Note 12"",46"
"8740,2020-02-08,""Milky S20"",71"
"5181,2020-02-06,""Milky S20"",92"
"9504,2020-02-02,""Milky S20"",63"
"8740,2020-03-23,""Yu Note 12"",90"
"4071,2020-01-12,""Yu Note 12"",75"
"1742,2020-04-07,""Yu Note 12"",14"
"4071,2020-01-21,""Milky S20"",16"
"9504,2020-03-21,""EggPhoneX"",19"
"8740,2020-03-16,""Milky S20"",43"
"4071,2020-04-03,""EggPhoneX"",9"
"8740,2020-02-04,""Yu Note 12"",23"
"9504,2020-01-30,""Yu Note 12"",57"
"9504,2020-03-29,""Milky S20"",40"
"4071,2020-02-19,""EggPhoneX"",56"
"1742,2020-02-16,""Yu Note 12"",83"
"4071,2020-03-07,""EggPhoneX"",64"
"9504,2020-03-22,""Yu Note 12"",39"
"9504,2020-04-05,""Milky S20"",71"
"9504,2020-03-21,""Milky S20"",11"
"1742,2020-02-11,""EggPhoneX"",28"
"9504,2020-02-09,""Yu Note 12"",59"
"5181,2020-02-11,""Milky S20"",16"
"4071,2020-04-05,""EggPhoneX"",85"
"9504,2020-01-26,""Yu Note 12"",84"
"9504,2020-01-13,""Yu Note 12"",48"
"8740,2020-01-20,""Yu Note 12"",77"
"8740,2020-01-20,""EggPhoneX"",30"
"1742,2020-04-02,""Milky S20"",7"
"1742,2020-03-24,""Milky S20"",44"
"1742,2020-04-03,""EggPhoneX"",46"
"8740,2020-02-10,""Milky S20"",34"
"1742,2020-01-08,""Yu Note 12"",19"
"9504,2020-02-08,""Yu Note 12"",51"
"5181,2020-03-14,""EggPhoneX"",2"
"8740,2020-03-21,""Milky S20"",77"
"1742,2020-03-03,""EggPhoneX"",56"
"4071,2020-03-22,""Milky S20"",64"
"9504,2020-01-11,""Yu Note 12"",47"
"1742,2020-01-02,""Yu Note 12"",28"
"9504,2020-01-19,""EggPhoneX"",46"
"5181,2020-03-17,""Yu Note 12"",79"
"9504,2020-01-13,""Milky S20"",58"
"5181,2020-01-31,""EggPhoneX"",40"
"5181,2020-01-30,""EggPhoneX"",81"
"4071,2020-01-22,""Milky S20"",32"
"5181,2020-04-03,""Yu Note 12"",58"
"1742,2020-03-14,""EggPhoneX"",46"
"4071,2020-01-16,""Milky S20"",27"
"9504,2020-03-09,""Milky S20"",55"
"8740,2020-02-05,""EggPhoneX"",23"
"5181,2020-02-19,""Milky S20"",54"
"1742,2020-02-02,""EggPhoneX"",45"
"8740,2020-03-20,""EggPhoneX"",13"
"8740,2020-01-28,""Milky S20"",62"
"1742,2020-02-18,""EggPhoneX"",55"
"9504,2020-01-12,""Yu Note 12"",15"
"9504,2020-02-22,""EggPhoneX"",56"
"1742,2020-01-28,""EggPhoneX"",43"
"5181,2020-03-06,""Milky S20"",45"
"8740,2020-02-19,""EggPhoneX"",83"
"4071,2020-03-16,""Milky S20"",72"
"9504,2020-02-16,""EggPhoneX"",46"
"1742,2020-02-20,""EggPhoneX"",52"
"1742,2020-01-06,""EggPhoneX"",25"
"1742,2020-03-20,""Yu Note 12"",8"
"5181,2020-01-15,""Yu Note 12"",39"
"4071,2020-01-19,""Milky S20"",2"
"4071,2020-02-28,""EggPhoneX"",86"
"5181,2020-01-03,""Milky S20"",99"
